subjID	block	trial	vStim	aStim	match	resp	result	RT	fb	vFile	aFile	iti	feedJitter	stimOnset	respOnset	feedbackOnset	subjID
1	1	1	1	1	1	1	0	1.549	0	Ⴁ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	2	1	3	0	1	1	1.068	1	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	3	2	2	1	1	0	1.117	0	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	4	2	1	0	2	0	0.946	0	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	5	3	3	1	1	0	1.039	0	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	6	3	2	0	1	1	1.063	1	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	7	1	1	1	1	0	1.176	0	Ⴁ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	8	1	3	0	1	1	1.758	1	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	9	2	2	1	2	1	1.344	1	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	10	2	1	0	1	1	1.014	1	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	11	3	3	1	1	0	1.127	0	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	12	3	2	0	1	1	0.779	1	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	13	1	1	1	2	1	1.102	1	Ⴁ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	14	1	3	0	1	1	0.855	1	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	15	2	2	1	2	1	0.833	1	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	16	2	1	0	1	1	1.278	1	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	17	3	3	1	1	0	1.258	0	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	18	3	2	0	1	1	1.13	1	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	20	1	3	0	2	0	1.144	0	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	21	2	2	1	2	1	0.907	1	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	22	2	1	0	1	1	1.096	1	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	23	3	3	1	1	0	0.939	0	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	24	3	2	0	1	1	0.923	1	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	25	1	1	1	1	0	1.227	0	Ⴁ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	26	1	3	0	1	1	1.174	1	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	27	2	2	1	2	1	0.78	1	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	28	2	1	0	1	1	1.115	1	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	29	3	3	1	2	1	1.375	1	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	30	3	2	0	2	0	1.264	0	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	32	1	3	0	1	1	1.249	1	Ⴁ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	33	2	2	1	2	1	0.73	1	Ⴜ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	34	2	1	0	1	1	1.367	1	Ⴜ	DEU_f.wav	NA	NA	NA	NA	NA	NA
1	1	35	3	3	1	1	0	1.489	0	Ⴂ	DEU_u_short_1.wav	NA	NA	NA	NA	NA	NA
1	1	36	3	2	0	1	1	1.063	1	Ⴂ	DEU_p.wav	NA	NA	NA	NA	NA	NA
1	1	37	1	1	1	1	0	1.595	0	Ⴁ	DEU_f.wav	NA	NA	NA	NA	NA	NA
